day,month,year,traffic_source,total_sessions,unique_transactions,transaction_revenue,transaction_total,active_users,cost,clicks,impressions
14,12,2021,google,79356,884,24853.64,25690.84,599,447.39,36093,1937755
1,5,2020,google,64052,482,11488,12005.27,317,908.69,29181,1549808
22,6,2020,google,63698,804,19611.01,20382.43,569,1181.29,32594,1874009
10,1,2021,google,37096,224,5866.43,6114.6,190,450.64,18963,922658
14,12,2020,google,80634,386,7814.75,8317.07,292,1425.53,59493,3192592
7,11,2020,google,48112,300,7256.7,7678.29,210,529.73,19722,920843
28,12,2020,google,42933,198,4703.43,4918.71,160,486.89,18785,738271
8,4,2020,google,34386,352,7521.75,7988.19,236,666.94,17463,971812
8,11,2020,google,50242,338,7394.5,7875.89,237,559.74,20843,958080
15,5,2021,google,34974,363,6485.08,7029.26,249,474.41,15061,879606
8,11,2021,google,61191,151,3462.7,3636.12,129,1435.26,25663,1492737
15,12,2020,google,72271,344,7744,8201.47,252,1085.55,49319,2620589
23,6,2020,google,54598,373,8857.5,9273.11,247,919.15,27543,1734838
16,5,2021,google,40436,401,7626,8247.92,254,531.81,18673,1026683
29,12,2021,google,67785,727,18557.87,19230.62,506,707.46,32342,1776753
30,7,2020,google,35967,235,5075.73,5305.96,162,588.03,20421,1038519
29,12,2020,google,40575,176,4708.5,4920.79,142,402,18801,794746
24,1,2021,google,43585,128,3199.35,3369.78,102,418.49,25336,1161407
1,12,2020,google,54427,179,4566.75,4796.98,119,608.84,32100,2532088
5,9,2021,google,33536,320,6909.25,7306.92,219,414.58,13945,631082
29,5,2021,google,56103,661,12534.88,13342.18,448,970.79,27483,1235388
24,1,2020,google,40712,327,10441.25,10659.52,242,540.97,18454,872522
6,4,2020,google,36221,267,5750.25,6070.18,188,663.99,18708,1094886
21,6,2021,google,49138,742,14390.01,15233.19,498,576.52,19255,942555
8,4,2021,google,33760,183,3141,3425.05,128,458.27,15693,970895
12,1,2021,google,41904,201,4519.38,4788.48,153,565.87,21454,983738
8,9,2020,google,32893,219,5270.25,5506.46,152,560.13,14654,688645
1,5,2021,google,46035,450,9645.25,10222.32,296,643.72,20400,983003
25,6,2020,google,53895,452,12372.6,12886.88,325,1032.5,27242,1850804
17,5,2020,google,91658,1045,21316.76,22575.55,657,1759.25,53249,2656615
7,9,2020,google,34743,228,4390,4709.93,157,624.55,16100,806268
6,11,2021,google,54577,126,2126,2308.39,105,1323.34,25128,1294029
16,12,2021,google,60331,553,17050.75,17538.12,366,255.14,20922,1090263
16,5,2020,google,95761,1071,22848,24073.9,675,1952.63,56318,3009863
18,5,2020,google,60566,401,8299.5,8810.79,253,937.44,31067,1534287
17,12,2021,google,53752,614,20713.28,21140.85,397,257.68,17533,1715710
2,5,2020,google,56374,494,10740.6,11332.62,324,740.97,23150,1079482
24,6,2021,google,43999,486,8935.38,9482.55,339,498.7,17183,869767
23,6,2021,google,42815,701,10649.13,11857.09,494,535.28,17366,849973
31,7,2020,google,28130,183,3728.13,3916.5,146,485.69,16592,840855
25,1,2021,google,39743,145,3524,3706.39,104,448.12,20367,967790
11,6,2020,google,51382,328,9008.75,9292.8,227,930.84,25418,1421786
7,9,2021,google,35483,345,7694.35,8118.93,252,394.69,12925,601878
17,5,2021,google,40124,311,7268.75,7585.69,213,541.2,17492,854515
22,6,2021,google,44618,542,10989.88,11590.87,361,519.49,17181,818614
3,5,2020,google,51672,459,10004.25,10596.27,316,753.81,23997,1191301
