day,total_sessions,traffic_source,traffic_medium,device_category
2020-01-01,46,m.facebook.com,referral,mobile
2020-01-01,14801,google,organic,mobile
2020-01-01,21,rtbhouse,cpc,tablet
2020-01-01,1553,rtbhouse,cpc,mobile
2020-01-01,2,l.instagram.com,referral,desktop
2020-01-01,1324,rtbhouse,cpc,desktop
2020-01-01,2,m.facebook.com,referral,tablet
2020-01-01,287,google,cpc,tablet
2020-01-01,5561,meta,cpc,mobile
2020-01-01,2,youtube,cpv,tablet
2020-01-01,77,dv360,cpm,desktop
2020-01-01,63,youtube,cpv,mobile
2020-01-01,4,google,cpm,mobile
2020-01-01,18150,google,cpc,mobile
2020-01-01,3,m.facebook.com,referral,desktop
2020-01-01,1,youtube.com,referral,mobile
2020-01-01,257,l.instagram.com,referral,mobile
2020-01-01,11,l.facebook.com,referral,mobile
2020-01-01,116,email,crm,desktop
2020-01-01,88,instagram.com,referral,mobile
2020-01-01,3,l.facebook.com,referral,desktop
2020-01-01,150,instagram,organic_social,mobile
2020-01-01,366,google,organic,tablet
2020-01-01,3031,google,cpc,desktop
2020-01-01,35,meta,cpc,tablet
2020-01-01,446,email,crm,mobile
2020-01-01,2,l.instagram.com,referral,tablet
2020-01-01,3951,google,organic,desktop
2020-01-01,11,email,crm,tablet
2020-01-01,1,youtube,cpv,desktop
2020-01-01,149,meta,cpc,desktop
2020-01-01,10,dv360,cpm,mobile
2020-01-02,4381,rtbhouse,cpc,desktop
2020-01-02,3,youtube.com,referral,mobile
2020-01-02,22,meta,cpc,tablet
2020-01-02,5,dv360,cpm,tablet
2020-01-02,2,l.instagram.com,referral,desktop
2020-01-02,193,l.instagram.com,referral,mobile
2020-01-02,10931,google,organic,desktop
2020-01-02,21,email,crm,tablet
2020-01-02,190,google,cpc,tablet
2020-01-02,1931,rtbhouse,cpc,mobile
2020-01-02,1,google,cpm,mobile
2020-01-02,83,instagram.com,referral,mobile
2020-01-02,635,email,crm,desktop
2020-01-02,6208,google,cpc,desktop
2020-01-02,1,instagram,organic_social,desktop
2020-01-02,32,rtbhouse,cpc,tablet
2020-01-02,1,l.instagram.com,referral,tablet
2020-01-02,11,l.facebook.com,referral,desktop
2020-01-02,146,dv360,cpm,desktop
2020-01-02,2,youtube,cpv,mobile
2020-01-02,5723,meta,cpc,mobile
2020-01-02,13,l.facebook.com,referral,mobile
2020-01-02,817,email,crm,mobile
2020-01-02,57,m.facebook.com,referral,mobile
2020-01-02,109,instagram,organic_social,mobile
2020-01-02,225,meta,cpc,desktop
2020-01-02,6,dv360,cpm,mobile
2020-01-02,2,youtube,organic_social,mobile
2020-01-02,16821,google,cpc,mobile
2020-01-02,16232,google,organic,mobile
